Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,1.085000,1.203000,1.074500,1.177000,1.177000,41755513
2020-10-09,1.190000,1.212000,1.125000,1.136500,1.136500,31574043
2020-10-12,1.150500,1.170000,1.116000,1.125500,1.125500,21836611
2020-10-13,1.119000,1.122000,1.074000,1.079500,1.079500,18978214
2020-10-14,1.067000,1.100000,1.021500,1.088000,1.088000,20404756
2020-10-15,1.056500,1.075500,1.018500,1.059000,1.059000,17979906
2020-10-16,1.069500,1.078000,1.023500,1.057500,1.057500,17404721
2020-10-19,1.055000,1.103000,1.043000,1.099000,1.099000,15155172
2020-10-20,1.090000,1.183000,1.086000,1.172000,1.172000,26001902
2020-10-21,1.185000,1.198000,1.108000,1.110000,1.110000,20380256
2020-10-22,1.080000,1.165000,1.051000,1.157500,1.157500,23083932
2020-10-23,1.160000,1.198000,1.144000,1.198000,1.198000,21285725
2020-10-26,1.139000,1.203500,1.108500,1.108500,1.108500,23474303
2020-10-27,1.120000,1.137500,1.060000,1.067000,1.067000,20944203
2020-10-28,1.050000,1.053500,1.003500,1.032500,1.032500,22541956
2020-10-29,1.039500,1.067000,1.000000,1.011500,1.011500,20127234
2020-10-30,1.003000,1.069000,0.982000,1.068000,1.068000,23360420
2020-11-02,1.030000,1.074500,0.991000,1.068000,1.068000,23676716
2020-11-03,1.068000,1.110000,1.063000,1.109000,1.109000,19037128
2020-11-04,1.085000,1.144000,1.069000,1.136000,1.136000,16538244
2020-11-05,1.140000,1.168000,1.104500,1.149500,1.149500,18079713
2020-11-06,1.147000,1.171500,1.123000,1.147000,1.147000,17932813
2020-11-09,1.192000,1.640000,1.177000,1.446000,1.446000,90954086
2020-11-10,1.475000,1.619000,1.470500,1.540500,1.540500,67464111
2020-11-11,1.630000,1.686000,1.561000,1.662500,1.662500,58350823
2020-11-12,1.651000,1.662000,1.580500,1.607500,1.607500,38361680
2020-11-13,1.580000,1.637500,1.565000,1.614000,1.614000,22525186
2020-11-16,1.680000,1.858500,1.660000,1.772000,1.772000,59667778
2020-11-17,1.839000,1.839000,1.672000,1.722500,1.722500,31772476
2020-11-18,1.717000,1.778000,1.676000,1.777000,1.777000,22884237
2020-11-19,1.760000,1.764000,1.720500,1.735500,1.735500,15930587
2020-11-20,1.740000,1.780000,1.726500,1.769000,1.769000,21545479
2020-11-23,1.849000,1.880000,1.810500,1.868000,1.868000,35492433
2020-11-24,1.942000,2.000000,1.850000,1.914000,1.914000,59774732
2020-11-25,1.956000,1.968500,1.864500,1.925500,1.925500,29728985
2020-11-26,1.928500,1.928500,1.838500,1.849000,1.849000,26217006
2020-11-27,1.840000,1.840000,1.780000,1.802500,1.802500,21803708
